2020-11-09,9001b0249d1532659d7f1a24d34ba82df255d1b7,1189884
2020-11-09,9001b0249d1532659d7f1a24d34ba82df255d1b7,865708
2020-11-09,9001b0249d1532659d7f1a24d34ba82df255d1b7,3388444
2020-11-09,9001b0249d1532659d7f1a24d34ba82df255d1b7,1990652
2020-11-09,9001b0249d1532659d7f1a24d34ba82df255d1b7,65969788
2020-11-09,9001b0249d1532659d7f1a24d34ba82df255d1b7,2852315
2020-11-09,9001b0249d1532659d7f1a24d34ba82df255d1b7,6915730
2020-11-09,9001b0249d1532659d7f1a24d34ba82df255d1b7,1086165
2020-11-09,9001b0249d1532659d7f1a24d34ba82df255d1b7,37094721
2020-11-09,9001b0249d1532659d7f1a24d34ba82df255d1b7,1164619
2020-11-09,9001b0249d1532659d7f1a24d34ba82df255d1b7,3124576
2020-11-09,9001b0249d1532659d7f1a24d34ba82df255d1b7,5600237
2020-11-09,9001b0249d1532659d7f1a24d34ba82df255d1b7,5507274
2020-11-09,9001b0249d1532659d7f1a24d34ba82df255d1b7,5362260
2020-11-09,9001b0249d1532659d7f1a24d34ba82df255d1b7,1733734
2020-11-09,9001b0249d1532659d7f1a24d34ba82df255d1b7,7997490
2020-11-09,9001b0249d1532659d7f1a24d34ba82df255d1b7,2387316
2020-11-09,9001b0249d1532659d7f1a24d34ba82df255d1b7,5756813
2020-11-09,9001b0249d1532659d7f1a24d34ba82df255d1b7,2956113
2020-11-09,9001b0249d1532659d7f1a24d34ba82df255d1b7,2057160
2020-11-09,9001b0249d1532659d7f1a24d34ba82df255d1b7,8169305
2020-11-09,9001b0249d1532659d7f1a24d34ba82df255d1b7,7629548
2020-11-09,9001b0249d1532659d7f1a24d34ba82df255d1b7,10700079
